County_State_Key,County,State,Population_2023,Median_HH_Income_2023,Store_Count
Autauga|Alabama,Autauga,Alabama,59285.0,69841.0,0
Baldwin|Alabama,Baldwin,Alabama,239945.0,75019.0,2
Barbour|Alabama,Barbour,Alabama,24757.0,44290.0,0
Bibb|Alabama,Bibb,Alabama,22152.0,51215.0,0
Blount|Alabama,Blount,Alabama,59292.0,61096.0,0
Bullock|Alabama,Bullock,Alabama,10157.0,36723.0,0
Butler|Alabama,Butler,Alabama,18807.0,44881.0,0
Calhoun|Alabama,Calhoun,Alabama,116141.0,55826.0,0
Chambers|Alabama,Chambers,Alabama,34450.0,49295.0,0
Cherokee|Alabama,Cherokee,Alabama,25224.0,50769.0,0
Chilton|Alabama,Chilton,Alabama,45500.0,61873.0,0
Choctaw|Alabama,Choctaw,Alabama,12525.0,44483.0,0
Clarke|Alabama,Clarke,Alabama,22802.0,49167.0,0
Clay|Alabama,Clay,Alabama,14188.0,51852.0,0
Cleburne|Alabama,Cleburne,Alabama,15254.0,53319.0,0
Coffee|Alabama,Coffee,Alabama,54231.0,64672.0,0
Colbert|Alabama,Colbert,Alabama,57648.0,56736.0,0
Conecuh|Alabama,Conecuh,Alabama,11411.0,42266.0,0
Coosa|Alabama,Coosa,Alabama,10323.0,57063.0,0
Covington|Alabama,Covington,Alabama,37647.0,50886.0,0
Crenshaw|Alabama,Crenshaw,Alabama,13144.0,49040.0,0
Cullman|Alabama,Cullman,Alabama,89463.0,60916.0,0
Dale|Alabama,Dale,Alabama,49516.0,53955.0,0
Dallas|Alabama,Dallas,Alabama,37536.0,36810.0,0
Dekalb|Alabama,Dekalb,Alabama,71946.0,51149.0,0
Elmore|Alabama,Elmore,Alabama,88669.0,75553.0,0
Escambia|Alabama,Escambia,Alabama,36695.0,44447.0,0
Etowah|Alabama,Etowah,Alabama,103208.0,53070.0,0
Fayette|Alabama,Fayette,Alabama,16173.0,50733.0,0
Franklin|Alabama,Franklin,Alabama,31978.0,51493.0,0
Geneva|Alabama,Geneva,Alabama,26726.0,50951.0,0
Greene|Alabama,Greene,Alabama,7589.0,31495.0,0
Hale|Alabama,Hale,Alabama,14749.0,41325.0,0
Henry|Alabama,Henry,Alabama,17450.0,60135.0,0
Houston|Alabama,Houston,Alabama,107628.0,57531.0,1
Jackson|Alabama,Jackson,Alabama,52839.0,49454.0,0
Jefferson|Alabama,Jefferson,Alabama,669744.0,64589.0,0
Lamar|Alabama,Lamar,Alabama,13809.0,47447.0,0
Lauderdale|Alabama,Lauderdale,Alabama,95037.0,59082.0,1
Lawrence|Alabama,Lawrence,Alabama,33182.0,60040.0,0
Lee|Alabama,Lee,Alabama,177663.0,61123.0,0
Limestone|Alabama,Limestone,Alabama,107577.0,83534.0,0
Lowndes|Alabama,Lowndes,Alabama,10008.0,35160.0,0
Macon|Alabama,Macon,Alabama,18951.0,45951.0,0
Madison|Alabama,Madison,Alabama,397135.0,83528.0,3
Marengo|Alabama,Marengo,Alabama,19027.0,44205.0,0
Marion|Alabama,Marion,Alabama,29190.0,50714.0,0
Marshall|Alabama,Marshall,Alabama,98712.0,60946.0,0
Mobile|Alabama,Mobile,Alabama,413162.0,58119.0,2
Monroe|Alabama,Monroe,Alabama,19580.0,40225.0,0
Montgomery|Alabama,Montgomery,Alabama,227197.0,58153.0,0
Morgan|Alabama,Morgan,Alabama,123742.0,64858.0,1
Perry|Alabama,Perry,Alabama,8231.0,34368.0,0
Pickens|Alabama,Pickens,Alabama,18843.0,47014.0,0
Pike|Alabama,Pike,Alabama,32953.0,47961.0,0
Randolph|Alabama,Randolph,Alabama,22310.0,51551.0,0
Russell|Alabama,Russell,Alabama,58858.0,50046.0,0
St. Clair|Alabama,St. Clair,Alabama,92903.0,78993.0,0
Shelby|Alabama,Shelby,Alabama,226955.0,93543.0,0
Sumter|Alabama,Sumter,Alabama,12020.0,37981.0,0
Talladega|Alabama,Talladega,Alabama,81170.0,56249.0,0
Tallapoosa|Alabama,Tallapoosa,Alabama,41070.0,57185.0,0
Tuscaloosa|Alabama,Tuscaloosa,Alabama,234036.0,63947.0,1
Walker|Alabama,Walker,Alabama,64886.0,54509.0,0
Washington|Alabama,Washington,Alabama,15270.0,60503.0,0
Wilcox|Alabama,Wilcox,Alabama,10347.0,42236.0,0
Winston|Alabama,Winston,Alabama,23637.0,48032.0,0
Aleutians East|Alaska,Aleutians East,Alaska,3423.0,72692.0,0
Aleutians West|Alaska,Aleutians West,Alaska,5178.0,107344.0,0
Anchorage|Alaska,Anchorage,Alaska,289069.0,98152.0,2
Bethel|Alaska,Bethel,Alaska,18487.0,70616.0,0
Bristol Bay|Alaska,Bristol Bay,Alaska,878.0,100625.0,0
Chugach|Alaska,Chugach,Alaska,6964.0,88565.0,0
Copper River|Alaska,Copper River,Alaska,2626.0,75053.0,0
Denali|Alaska,Denali,Alaska,2029.0,88935.0,0
Dillingham|Alaska,Dillingham,Alaska,4780.0,74250.0,0
Fairbanks North Star|Alaska,Fairbanks North Star,Alaska,95555.0,84722.0,0
Haines|Alaska,Haines,Alaska,2077.0,72607.0,0
Hoonah-Angoon|Alaska,Hoonah-Angoon,Alaska,2313.0,62500.0,0
Juneau  And|Alaska,Juneau  And,Alaska,31969.0,100513.0,0
Kenai Peninsula|Alaska,Kenai Peninsula,Alaska,59843.0,77722.0,0
Ketchikan Gateway|Alaska,Ketchikan Gateway,Alaska,13870.0,89155.0,0
Kodiak Island|Alaska,Kodiak Island,Alaska,12878.0,83716.0,0
Kusilvak|Alaska,Kusilvak,Alaska,8277.0,48233.0,0
Lake And Peninsula|Alaska,Lake And Peninsula,Alaska,1007.0,64000.0,0
Matanuska-Susitna|Alaska,Matanuska-Susitna,Alaska,110677.0,90625.0,1
Nome|Alaska,Nome,Alaska,9925.0,76643.0,0
North Slope|Alaska,North Slope,Alaska,10891.0,86313.0,0
Northwest Arctic|Alaska,Northwest Arctic,Alaska,7611.0,81298.0,0
Petersburg|Alaska,Petersburg,Alaska,3394.0,77026.0,0
Prince Of Wales-Hyder|Alaska,Prince Of Wales-Hyder,Alaska,5730.0,59079.0,0
Sitka  And|Alaska,Sitka  And,Alaska,8393.0,101207.0,0
Skagway|Alaska,Skagway,Alaska,1308.0,78594.0,0
Southeast Fairbanks|Alaska,Southeast Fairbanks,Alaska,6936.0,74223.0,0
Wrangell  And|Alaska,Wrangell  And,Alaska,2106.0,64545.0,0
Yakutat  And|Alaska,Yakutat  And,Alaska,506.0,80625.0,0
