County_State_Key,County,State,Store_Count
Adams|Colorado,Adams,Colorado,3
Ada|Idaho,Ada,Idaho,2
Aiken|South Carolina,Aiken,South Carolina,1
Alachua|Florida,Alachua,Florida,2
Alamance|North Carolina,Alamance,North Carolina,1
Alameda|California,Alameda,California,13
Albany|New York,Albany,New York,2
Albemarle|Virginia,Albemarle,Virginia,1
Alexandria|Virginia,Alexandria,Virginia,1
Allegheny|Pennsylvania,Allegheny,Pennsylvania,11
Allen|Indiana,Allen,Indiana,3
Anchorage|Alaska,Anchorage,Alaska,2
Anderson|South Carolina,Anderson,South Carolina,1
Angelina|Texas,Angelina,Texas,1
Anne Arundel|Maryland,Anne Arundel,Maryland,5
Anoka|Minnesota,Anoka,Minnesota,6
Arapahoe|Colorado,Arapahoe,Colorado,8
Arlington|Virginia,Arlington,Virginia,1
Atlantic|New Jersey,Atlantic,New Jersey,1
Baldwin|Alabama,Baldwin,Alabama,2
Baltimore|Maryland,Baltimore,Maryland,7
Barrow|Georgia,Barrow,Georgia,1
Bartholomew|Indiana,Bartholomew,Indiana,1
Bay|Florida,Bay,Florida,2
Beaufort|South Carolina,Beaufort,South Carolina,1
Beaver|Pennsylvania,Beaver,Pennsylvania,1
Bell|Texas,Bell,Texas,2
Beltrami|Minnesota,Beltrami,Minnesota,1
Benton|Arkansas,Benton,Arkansas,1
Benton|Minnesota,Benton,Minnesota,1
Benton|Washington,Benton,Washington,2
Bergen|New Jersey,Bergen,New Jersey,4
Berkeley|South Carolina,Berkeley,South Carolina,1
Berkeley|West Virginia,Berkeley,West Virginia,1
Berkshire|Massachusetts,Berkshire,Massachusetts,1
Berks|Pennsylvania,Berks,Pennsylvania,3
Bernalillo|New Mexico,Bernalillo,New Mexico,5
Bexar|Texas,Bexar,Texas,13
Black Hawk|Iowa,Black Hawk,Iowa,2
Blair|Pennsylvania,Blair,Pennsylvania,1
Blount|Tennessee,Blount,Tennessee,1
Blue Earth|Minnesota,Blue Earth,Minnesota,1
Bonneville|Idaho,Bonneville,Idaho,1
Boone|Kentucky,Boone,Kentucky,1
Boone|Missouri,Boone,Missouri,1
Bossier|Louisiana,Bossier,Louisiana,1
Boulder|Colorado,Boulder,Colorado,3
Bowie|Texas,Bowie,Texas,1
Bradley|Tennessee,Bradley,Tennessee,1
Brazoria|Texas,Brazoria,Texas,2
Brazos|Texas,Brazos,Texas,2
Brevard|Florida,Brevard,Florida,5
Bristol|Massachusetts,Bristol,Massachusetts,6
Bronx|New York,Bronx,New York,3
Broome|New York,Broome,New York,1
Broward|Florida,Broward,Florida,11
Brown|South Dakota,Brown,South Dakota,1
Brown|Wisconsin,Brown,Wisconsin,2
Buchanan|Missouri,Buchanan,Missouri,1
Bucks|Pennsylvania,Bucks,Pennsylvania,4
Buffalo|Nebraska,Buffalo,Nebraska,1
Buncombe|North Carolina,Buncombe,North Carolina,2
Burleigh|North Dakota,Burleigh,North Dakota,1
Burlington|New Jersey,Burlington,New Jersey,4
Butler|Ohio,Butler,Ohio,2
Butler|Pennsylvania,Butler,Pennsylvania,2
Butte|California,Butte,California,1
Cabarrus|North Carolina,Cabarrus,North Carolina,1
Cabell|West Virginia,Cabell,West Virginia,1
Caddo|Louisiana,Caddo,Louisiana,1
Calcasieu|Louisiana,Calcasieu,Louisiana,1
Calhoun|Michigan,Calhoun,Michigan,1
Camden|New Jersey,Camden,New Jersey,3
Cameron|Texas,Cameron,Texas,2
Campbell|Kentucky,Campbell,Kentucky,1
Canadian|Oklahoma,Canadian,Oklahoma,1
Canyon|Idaho,Canyon,Idaho,1
Cape Girardeau|Missouri,Cape Girardeau,Missouri,1
Carroll|Maryland,Carroll,Maryland,1
Carver|Minnesota,Carver,Minnesota,3
Cascade|Montana,Cascade,Montana,1
Cass|Missouri,Cass,Missouri,1
Cass|North Dakota,Cass,North Dakota,1
Catawba|North Carolina,Catawba,North Carolina,1
Centre|Pennsylvania,Centre,Pennsylvania,2
Cerro Gordo|Iowa,Cerro Gordo,Iowa,1
Champaign|Illinois,Champaign,Illinois,1
Charleston|South Carolina,Charleston,South Carolina,3
Charles|Maryland,Charles,Maryland,2
Charlotte|Florida,Charlotte,Florida,1
Chatham|Georgia,Chatham,Georgia,2
Chaves|New Mexico,Chaves,New Mexico,1
Chelan|Washington,Chelan,Washington,1
Chemung|New York,Chemung,New York,1
Chesapeake|Virginia,Chesapeake,Virginia,3
Cheshire|New Hampshire,Cheshire,New Hampshire,1
Chesterfield|Virginia,Chesterfield,Virginia,4
Chester|Pennsylvania,Chester,Pennsylvania,3
Clackamas|Oregon,Clackamas,Oregon,1
Clarke|Georgia,Clarke,Georgia,1
Clark|Indiana,Clark,Indiana,1
Clark|Nevada,Clark,Nevada,14
Clark|Washington,Clark,Washington,3
Clay|Florida,Clay,Florida,1
Clay|Minnesota,Clay,Minnesota,1
Clay|Missouri,Clay,Missouri,3
Clermont|Ohio,Clermont,Ohio,1
Cleveland|Oklahoma,Cleveland,Oklahoma,2
Clinton|New York,Clinton,New York,1
Cochise|Arizona,Cochise,Arizona,1
Coconino|Arizona,Coconino,Arizona,1
Codington|South Dakota,Codington,South Dakota,1
Cole|Missouri,Cole,Missouri,1
Collier|Florida,Collier,Florida,2
Collin|Texas,Collin,Texas,8
Colonial Heights|Virginia,Colonial Heights,Virginia,1
Columbia|Georgia,Columbia,Georgia,1
Comal|Texas,Comal,Texas,1
Comanche|Oklahoma,Comanche,Oklahoma,1
Contra Costa|California,Contra Costa,California,7
Cook|Illinois,Cook,Illinois,44
Cowlitz|Washington,Cowlitz,Washington,1
Craighead|Arkansas,Craighead,Arkansas,1
Craven|North Carolina,Craven,North Carolina,1
Crow Wing|Minnesota,Crow Wing,Minnesota,1
Culpeper|Virginia,Culpeper,Virginia,1
Cumberland|Maine,Cumberland,Maine,1
Cumberland|New Jersey,Cumberland,New Jersey,1
Cumberland|North Carolina,Cumberland,North Carolina,1
Cumberland|Pennsylvania,Cumberland,Pennsylvania,2
Cuyahoga|Ohio,Cuyahoga,Ohio,8
Dakota|Minnesota,Dakota,Minnesota,7
Dallas|Texas,Dallas,Texas,16
Dane|Wisconsin,Dane,Wisconsin,5
Danville|Virginia,Danville,Virginia,1
Dauphin|Pennsylvania,Dauphin,Pennsylvania,2
Davidson|Tennessee,Davidson,Tennessee,5
Daviess|Kentucky,Daviess,Kentucky,1
Davis|Utah,Davis,Utah,2
Dekalb|Illinois,Dekalb,Illinois,1
Delaware|Indiana,Delaware,Indiana,1
Delaware|Ohio,Delaware,Ohio,2
Delaware|Pennsylvania,Delaware,Pennsylvania,3
Denton|Texas,Denton,Texas,5
Denver|Colorado,Denver,Colorado,2
Des Moines|Iowa,Des Moines,Iowa,1
Deschutes|Oregon,Deschutes,Oregon,1
Desoto|Mississippi,Desoto,Mississippi,2
District Of Columbia|District Of Columbia,District Of Columbia,District Of Columbia,1
Dona Ana|New Mexico,Dona Ana,New Mexico,1
Door|Wisconsin,Door,Wisconsin,1
Dougherty|Georgia,Dougherty,Georgia,1
Douglas|Colorado,Douglas,Colorado,5
Douglas|Kansas,Douglas,Kansas,1
Douglas|Minnesota,Douglas,Minnesota,1
Douglas|Nebraska,Douglas,Nebraska,6
Douglas|Nevada,Douglas,Nevada,1
Dubuque|Iowa,Dubuque,Iowa,1
Dupage|Illinois,Dupage,Illinois,9
Durham|North Carolina,Durham,North Carolina,2
Dutchess|New York,Dutchess,New York,1
Duval|Florida,Duval,Florida,8
