State,County,Store_Count
Alabama,Baldwin,2
Alabama,Houston,1
Alabama,Lauderdale,1
Alabama,Madison,3
Alabama,Mobile,2
Alabama,Morgan,1
Alabama,Tuscaloosa,1
Alaska,Anchorage,2
Alaska,Matanuska-Susitna,1
Arizona,Cochise,1
Arizona,Coconino,1
Arizona,Maricopa,34
Arizona,Mohave,1
Arizona,Pima,8
Arizona,Yavapai,1
Arizona,Yuma,1
Arkansas,Benton,1
Arkansas,Craighead,1
Arkansas,Faulkner,1
Arkansas,Pulaski,3
Arkansas,Saline,1
Arkansas,Sebastian,1
Arkansas,Washington,1
California,Alameda,13
California,Butte,1
California,Contra Costa,7
California,El Dorado,1
California,Fresno,7
California,Humboldt,1
California,Imperial,1
California,Kern,4
California,Kings,1
California,Los Angeles,69
California,Marin,3
California,Merced,3
California,Monterey,3
California,Napa,2
California,Orange,32
California,Placer,5
California,Riverside,16
California,Sacramento,10
California,San Benito,1
California,San Bernardino,14
California,San Diego,23
California,San Francisco,5
California,San Joaquin,6
California,San Luis Obispo,2
California,San Mateo,6
California,Santa Barbara,1
California,Santa Clara,18
California,Santa Cruz,2
California,Shasta,1
California,Solano,3
California,Sonoma,4
California,Stanislaus,4
California,Sutter,1
California,Tulare,4
California,Ventura,8
California,Yolo,3
Colorado,Adams,3
Colorado,Arapahoe,8
Colorado,Boulder,3
Colorado,Denver,2
Colorado,Douglas,5
Colorado,El Paso,4
Colorado,Garfield,1
Colorado,Jefferson,7
Colorado,Larimer,3
Colorado,Mesa,1
Colorado,Montrose,1
Colorado,Pueblo,1
Colorado,Summit,1
Colorado,Weld,1
Connecticut,Fairfield,4
Connecticut,Hartford,6
Connecticut,Litchfield,1
Connecticut,New Haven,6
Connecticut,New London,2
Connecticut,Windham,1
Delaware,Kent,1
Delaware,New Castle,2
District of Columbia,District Of Columbia,1
Florida,Alachua,2
Florida,Bay,2
Florida,Brevard,5
Florida,Broward,11
Florida,Charlotte,1
Florida,Clay,1
Florida,Collier,2
Florida,Duval,8
Florida,Escambia,3
Florida,Flagler,1
Florida,Hernando,2
Florida,Hillsborough,8
Florida,Indian River,1
Florida,Lake,3
Florida,Lee,7
Florida,Leon,2
Florida,Manatee,1
Florida,Marion,1
Florida,Martin,1
Florida,Miami-Dade,11
Florida,Nassau,1
Florida,Okaloosa,2
Florida,Orange,8
Florida,Osceola,2
Florida,Palm Beach,9
Florida,Pasco,3
Florida,Pinellas,6
Florida,Polk,3
Florida,Santa Rosa,1
Florida,Sarasota,4
Florida,Seminole,5
Florida,St. Johns,1
Florida,St. Lucie,1
Florida,Volusia,3
Georgia,Barrow,1
Georgia,Chatham,2
Georgia,Clarke,1
Georgia,Columbia,1
Georgia,Dougherty,1
Georgia,Glynn,1
Georgia,Hall,2
Georgia,Houston,1
Georgia,Lowndes,1
Georgia,Richmond,1
Hawaii,Hawaii,2
Hawaii,Honolulu,5
Idaho,Ada,2
Idaho,Bonneville,1
Idaho,Canyon,1
Idaho,Kootenai,1
Idaho,Twin Falls,1
Illinois,Champaign,1
Illinois,Cook,44
Illinois,Dekalb,1
Illinois,Dupage,9
Illinois,Kane,5
Illinois,Kankakee,1
Illinois,Kendall,2
Illinois,Knox,1
Illinois,La Salle,1
Illinois,Lake,8
Illinois,Macon,1
Illinois,Madison,2
Illinois,Mchenry,2
Illinois,Mclean,1
Illinois,Peoria,1
Illinois,Rock Island,1
Illinois,Sangamon,1
Illinois,St. Clair,3
Illinois,Tazewell,1
Illinois,Will,6
Illinois,Williamson,1
Illinois,Winnebago,2
Indiana,Allen,3
Indiana,Bartholomew,1
Indiana,Clark,1
Indiana,Delaware,1
Indiana,Elkhart,1
Indiana,Floyd,1
Indiana,Hamilton,3
Indiana,Hendricks,2
Indiana,Howard,1
Indiana,Johnson,1
Indiana,Lake,4
Indiana,Marion,5
Indiana,Monroe,1
Indiana,Porter,1
Indiana,St. Joseph,2
Indiana,Tippecanoe,1
Indiana,Vanderburgh,2
Iowa,Black Hawk,2
Iowa,Cerro Gordo,1
Iowa,Des Moines,1
Iowa,Dubuque,1
Iowa,Johnson,1
Iowa,Linn,2
Iowa,Polk,7
Iowa,Pottawattamie,1
Iowa,Scott,1
Iowa,Story,1
Iowa,Webster,1
Iowa,Woodbury,1
Kansas,Douglas,1
Kansas,Finney,1
Kansas,Johnson,7
Kansas,Riley,1
Kansas,Saline,1
Kansas,Sedgwick,4
Kansas,Shawnee,1
Kansas,Wyandotte,1
Kentucky,Boone,1
Kentucky,Campbell,1
Kentucky,Daviess,1
Kentucky,Fayette,2
Kentucky,Hardin,1
Kentucky,Jefferson,6
Kentucky,Warren,1
Louisiana,Bossier,1
Louisiana,Caddo,1
Louisiana,Calcasieu,1
Louisiana,East Baton Rouge,2
Louisiana,Jefferson,3
Louisiana,Lafayette,2
Louisiana,Ouachita,1
Louisiana,Rapides,1
Louisiana,St. Tammany,1
Louisiana,Tangipahoa,1
Louisiana,Terrebonne,1
Maine,Cumberland,1
Maine,Kennebec,1
Maine,Penobscot,1
Maine,Sagadahoc,1
Maine,York,1
Maryland,Anne Arundel,5
Maryland,Baltimore,6
Maryland,Baltimore City,1
Maryland,Carroll,1
Maryland,Charles,2
Maryland,Frederick,1
Maryland,Harford,3
Maryland,Howard,2
Maryland,Montgomery,6
Maryland,Prince George'S,8
Maryland,St. Mary'S,1
Maryland,Talbot,1
Maryland,Washington,1
Maryland,Wicomico,1
Massachusetts,Berkshire,1
Massachusetts,Bristol,6
Massachusetts,Essex,5
Massachusetts,Hampden,1
Massachusetts,Hampshire,1
Massachusetts,Middlesex,11
Massachusetts,Norfolk,5
Massachusetts,Plymouth,4
Massachusetts,Suffolk,4
Massachusetts,Worcester,5
Michigan,Calhoun,1
Michigan,Eaton,1
Michigan,Genesee,2
Michigan,Grand Traverse,1
Michigan,Ingham,2
Michigan,Isabella,1
Michigan,Jackson,1
Michigan,Kalamazoo,2
Michigan,Kent,5
Michigan,Livingston,2
Michigan,Macomb,8
Michigan,Marquette,1
Michigan,Midland,1
Michigan,Muskegon,1
Michigan,Oakland,9
Michigan,Ottawa,1
Michigan,Saginaw,1
Michigan,St. Clair,1
Michigan,Washtenaw,2
Michigan,Wayne,10
Minnesota,Anoka,6
Minnesota,Beltrami,1
Minnesota,Benton,1
Minnesota,Blue Earth,1
Minnesota,Carver,3
Minnesota,Clay,1
Minnesota,Crow Wing,1
Minnesota,Dakota,7
Minnesota,Douglas,1
Minnesota,Goodhue,1
Minnesota,Hennepin,21
Minnesota,Isanti,1
Minnesota,Itasca,1
Minnesota,Kandiyohi,1
Minnesota,Mcleod,1
Minnesota,Olmsted,2
Minnesota,Ramsey,7
Minnesota,Rice,1
Minnesota,Scott,2
Minnesota,St. Louis,2
Minnesota,Stearns,1
Minnesota,Steele,1
Minnesota,Washington,6
Minnesota,Winona,1
Minnesota,Wright,3
Mississippi,Desoto,2
Mississippi,Harrison,1
Mississippi,Hinds,1
Mississippi,Lamar,1
Mississippi,Rankin,1
Missouri,Boone,1
Missouri,Buchanan,1
Missouri,Cape Girardeau,1
Missouri,Cass,1
Missouri,Clay,3
Missouri,Cole,1
Missouri,Franklin,1
Missouri,Greene,1
Missouri,Jackson,5
Missouri,Jasper,1
Missouri,Jefferson,1
Missouri,Miller,1
Missouri,Platte,1
Missouri,St. Charles,5
Missouri,St. Louis,10
Missouri,Taney,1
Montana,Cascade,1
Montana,Flathead,1
Montana,Gallatin,1
Montana,Lewis And Clark,1
Montana,Missoula,1
Montana,Yellowstone,2
Nebraska,Buffalo,1
Nebraska,Douglas,6
Nebraska,Lancaster,3
Nebraska,Madison,1
Nebraska,Sarpy,2
Nebraska,Scotts Bluff,1
Nevada,Clark,14
