State,Opportunity_Count,Avg_Population,Avg_Income
Georgia,14,377629.78571428574,91550.07142857143
Connecticut,8,437814.875,94024.625
North Carolina,4,156600.5,72626.75
Pennsylvania,3,130678.0,74774.0
Texas,3,160959.0,87762.33333333333
Michigan,2,137957.0,77763.5
Ohio,2,113083.5,72972.0
New Jersey,2,137282.5,126884.5
Louisiana,2,137088.0,85441.5
Alabama,2,167266.0,88538.5
California,1,158790.0,75496.0
Arizona,1,449219.0,77588.0
Kentucky,1,169817.0,79421.0
Indiana,1,112141.0,70452.0
Illinois,1,109049.0,72281.0
Hawaii,1,164632.0,95076.0
Delaware,1,247799.0,78162.0
Florida,1,137536.0,73297.0
Mississippi,1,110303.0,78794.0
Massachusetts,1,230073.0,94452.0
New York,1,117945.0,68461.0
Maine,1,112323.0,67298.0
Rhode Island,1,130073.0,102478.0
Oregon,1,108122.0,87084.0
South Carolina,1,164322.0,76896.0
Utah,1,137031.0,78292.0
Vermont,1,168831.0,94310.0
Wisconsin,1,137320.0,95851.0
