Address,City,County,State,Latitude,Longitude,Population_Total,Median_Income
1901 13th Ave E,Tuscaloosa,Tuscaloosa,AL,33.193104,-87.518672,234036.0,87289.0
2929 Watson Blvd,Warner Robins,Houston,GA,32.616594,-83.686391,166902.0,62158.0
916 Loganville Hwy,Bethlehem,Barrow,GA,33.942788,-83.752011,86982.0,29770.0
5865 Spout Springs Rd,Flowery Branch,Hall,GA,34.178722,-83.911284,208395.0,71263.0
2750 Carl T Jones Dr SE,Huntsville,Madison,AL,34.673498,-86.541632,397135.0,162469.0
1235 Point Mallard Pkwy SE,Decatur,Morgan,AL,34.559064,-86.97103,123742.0,48752.0
514 Shallowford Rd NW,Gainesville,Hall,GA,34.290556,-83.846503,208395.0,71263.0
4601 Montgomery Hwy,Dothan,Houston,AL,31.266492,-85.446808,107628.0,42581.0
6275 University Dr NW,Huntsville,Madison,AL,34.741637,-86.681523,397135.0,162469.0
2721 Dawson Rd,Albany,Dougherty,GA,31.621335,-84.224654,83915.0,34280.0
8207 HIGHWAY 72 W,Madison,Madison,AL,34.749313,-86.755874,397135.0,162469.0
1816 Gunbarrel Rd,Chattanooga,Hamilton,TN,35.024344,-85.156006,370913.0,151316.0
3065 Atlanta Hwy,Athens,Clarke,GA,33.941502,-83.44039,129267.0,54161.0
5579 Highway 153,Hixson,Hamilton,TN,35.14642,-85.251508,370913.0,151316.0
4570 Frontage Rd NW,Cleveland,Bradley,TN,35.217441,-84.866113,109743.0,41909.0
372 Cox Creek Pkwy,Florence,Lauderdale,AL,34.84213,-87.634764,95037.0,38777.0
3519 Clemson Blvd,Anderson,Anderson,SC,34.54954,-82.679501,207218.0,82134.0
3700 Bradfordville Rd,Tallahassee,Leon,FL,30.561288,-84.21554,295335.0,120673.0
1851 Old Fort Pkwy,Murfreesboro,Rutherford,TN,35.843921,-86.426292,351591.0,125861.0
853 Harbor Blvd,Destin,Okaloosa,FL,30.390741,-86.480935,214281.0,84123.0
4727 Highway 90,Pace,Santa Rosa,FL,30.601174,-87.126274,193719.0,71250.0
1033 Crossings Blvd,Spring Hill,Maury,TN,35.74154,-86.937825,104855.0,41260.0
250 E Miracle Strip Pkwy,Mary Esther,Okaloosa,FL,30.410554,-86.658874,214281.0,84123.0
4223 Washington Rd,Evans,Columbia,GA,33.527174,-82.118653,159638.0,52083.0
15555 Starfish St,Panama City Beach,Bay,FL,30.219781,-85.868686,181368.0,76118.0
2120 Apalachee Pkwy,Tallahassee,Leon,FL,30.43252,-84.244336,295335.0,120673.0
800 Watkins Rd,Maryville,Blount,TN,35.751972,-83.991525,137747.0,54449.0
2340 Highway 77,Panama City,Bay,FL,30.19123,-85.649157,181368.0,76118.0
235 Robert C Daniel Jr Pkwy,Augusta,Richmond,GA,33.489997,-82.081301,206040.0,75023.0
1749 E Nine Mile Rd,Pensacola,Escambia,FL,30.530082,-87.223828,323275.0,128292.0
3064 Columbia Ave,Franklin,Williamson,TN,35.89233,-86.880687,254609.0,90716.0
803 Industrial Blvd,Smyrna,Rutherford,TN,35.979397,-86.571713,351591.0,125861.0
1815 Norman Dr,Valdosta,Lowndes,GA,30.84359,-83.316461,119055.0,44928.0
4711 Bayou Blvd,Pensacola,Escambia,FL,30.468992,-87.208593,323275.0,128292.0
1900 Town Center Blvd,Knoxville,Knox,TN,35.862042,-84.078239,487401.0,197298.0
11100 Parkside Dr,Knoxville,Knox,TN,35.900577,-84.151312,487401.0,197298.0
1701 Galleria Blvd,Franklin,Williamson,TN,35.96564,-86.812455,254609.0,90716.0
8040 Ray Mears Blvd,Knoxville,Knox,TN,35.922124,-84.047781,487401.0,197298.0
780 Old Hickory Blvd,Brentwood,Davidson,TN,36.042772,-86.779214,709846.0,314578.0
401 S Mount Juliet Rd,Mount Juliet,Wilson,TN,36.168508,-86.508374,153587.0,56609.0
2950 S Blue Angel Pkwy,Pensacola,Escambia,FL,30.363162,-87.358086,323275.0,128292.0
6670 Clinton Hwy,Knoxville,Knox,TN,36.008464,-84.022171,487401.0,197298.0
694 Fairview Rd,Simpsonville,Greenville,SC,34.705739,-82.259611,537575.0,215774.0
3171 Lebanon Pike,Nashville,Davidson,TN,36.182625,-86.637907,709846.0,314578.0
26 White Bridge Rd,Nashville,Davidson,TN,36.130779,-86.854673,709846.0,314578.0
1112 Woodruff Rd,Greenville,Greenville,SC,34.830076,-82.308025,537575.0,215774.0
6814 Charlotte Pike,Nashville,Davidson,TN,36.135103,-86.891363,709846.0,314578.0
1698 US Highway 98,Daphne,Baldwin,AL,30.603217,-87.896507,239945.0,94642.0
5405 Washington Pike,Knoxville,Knox,TN,36.036859,-83.887806,487401.0,197298.0
2545 Whiskey Rd,Aiken,Aiken,SC,33.504129,-81.711132,171949.0,68606.0
3150 Bel Air Mall,Mobile,Mobile,AL,30.671392,-88.12001,413162.0,160507.0
6025 Wade Hampton Blvd,Taylors,Greenville,SC,34.93744,-82.279302,537575.0,215774.0
2050 Gallatin Rd N,Madison,Davidson,TN,36.304198,-86.694594,709846.0,314578.0
1004 Andrews Run,Hendersonville,Sumner,TN,36.334395,-86.625271,200553.0,76706.0
790 Schillinger Rd S,Mobile,Mobile,AL,30.673882,-88.228304,413162.0,160507.0
3820 Gulf Shores Pkwy,Gulf Shores,Baldwin,AL,30.303574,-87.680528,239945.0,94642.0
15 McKenna Rd,Arden,Buncombe,NC,35.448714,-82.535898,271790.0,102672.0
8199 Warren H Abernathy Pkwy,Spartanburg,Spartanburg,SC,34.934124,-82.009115,338096.0,128606.0
115 River Hills Rd,Asheville,Buncombe,NC,35.57295,-82.522312,271790.0,102672.0
93 Stonebrook Pl,Jackson,Madison,TN,35.686565,-88.857722,98845.0,39534.0
325 New Byhalia Rd,Collierville,Shelby,TN,35.050644,-89.690385,922195.0,360590.0
9235 Poplar Ave,Germantown,Shelby,TN,35.065207,-89.755729,922195.0,360590.0
475 N Germantown Pkwy,Cordova,Shelby,TN,35.138077,-89.798065,922195.0,360590.0
5150 Goodman Rd,Olive Branch,DeSoto,MS,34.964928,-89.898693,188598.0,69327.0
7989 US Highway 64,Memphis,Shelby,TN,35.203464,-89.796608,922195.0,360590.0
5959 Poplar Ave,Memphis,Shelby,TN,35.101357,-89.862978,922195.0,360590.0
2823 Wilma Rudolph Blvd,Clarksville,Montgomery,TN,36.586754,-87.292082,227957.0,84321.0
601 Colonial Rd,Memphis,Shelby,TN,35.113176,-89.90362,922195.0,360590.0
7255 Interstate Dr,Horn Lake,DeSoto,MS,34.965723,-90.00456,188598.0,69327.0
160 American Ave,Bowling Green,Warren,KY,36.949291,-86.43625,137549.0,54208.0
170 Promenade Blvd,Flowood,Rankin,MS,32.343338,-90.060623,158218.0,59624.0
6365 I 55 N,Jackson,Hinds,MS,32.39856,-90.147817,222494.0,89720.0
3000 E Highland Dr,Jonesboro,Craighead,AR,35.822936,-90.666448,112097.0,43357.0
6143 U S Highway 98,Hattiesburg,Lamar,MS,31.323514,-89.385061,65081.0,25053.0
5151 Frederica St,Owensboro,Daviess,KY,37.717488,-87.122615,103195.0,41157.0
1631 Ring Rd,Elizabethtown,Hardin,KY,37.728429,-85.880339,111452.0,43485.0
3867 Promenade Pkwy,D'iberville,Harrison,MS,30.454942,-88.899895,209443.0,81214.0
69320 Highway 21,Covington,St. Tammany Parish,LA,30.442442,-90.14066,269331.0,103286.0
2030 Hammond Square Dr,Hammond,Tangipahoa Parish,LA,30.480532,-90.461589,135218.0,50191.0
4103 Pecanland Mall Dr,Monroe,Ouachita Parish,LA,32.499827,-92.070689,158916.0,60804.0
4500 Veterans Memorial Blvd,Metairie,Jefferson Parish,LA,30.002898,-90.184112,432484.0,176986.0
1401 W Esplanade Ave,Kenner,Jefferson Parish,LA,30.017065,-90.247514,432484.0,176986.0
1731 Manhattan Blvd,Harvey,Jefferson Parish,LA,29.889547,-90.053431,432484.0,176986.0
2001 Millerville Rd,Baton Rouge,East Baton Rouge Parish,LA,30.441249,-91.022367,452821.0,175408.0
6885 Siegen Ln,Baton Rouge,East Baton Rouge Parish,LA,30.384458,-91.061331,452821.0,175408.0
6625 E Lloyd Expy,Evansville,Vanderburgh,IN,37.975406,-87.470714,179908.0,77198.0
4000 1st Ave,Evansville,Vanderburgh,IN,38.015727,-87.576467,179908.0,77198.0
202 Siemers Dr,Cape Girardeau,Cape Girardeau,MO,37.299212,-89.580194,82180.0,32544.0
7311 Jefferson Blvd,Louisville,Jefferson,KY,38.145684,-85.672642,777392.0,329392.0
3000 W Deyoung St,Marion,Williamson,IL,37.749039,-88.979309,66902.0,28774.0
3600 Mall Rd,Louisville,Jefferson,KY,38.198329,-85.670463,777392.0,329392.0
4640 Taylorsville Rd,Louisville,Jefferson,KY,38.215374,-85.594476,777392.0,329392.0
4174 Westport Rd,Louisville,Jefferson,KY,38.258636,-85.642057,777392.0,329392.0
2209 State St,New Albany,Floyd,IN,38.305507,-85.841632,80512.0,31173.0
12975 Shelbyville Rd,Louisville,Jefferson,KY,38.246049,-85.514987,777392.0,329392.0
1125 Veterans Pkwy,Clarksville,Clark,IN,38.327641,-85.764438,122800.0,49184.0
4101 Towne Center Dr,Louisville,Jefferson,KY,38.296935,-85.557122,777392.0,329392.0
131 West Reynolds Rd,Lexington,Fayette,KY,37.992925,-84.526448,321122.0,137803.0
1940 Pavillon Way,Lexington,Fayette,KY,38.022057,-84.415147,321122.0,137803.0
3970 SW Archer Rd,Gainesville,Alachua,FL,29.621259,-82.383618,281751.0,112776.0
250 NW 13th St,Gainesville,Alachua,FL,29.653539,-82.338389,281751.0,112776.0
1727 Martin Luther King Jr Blvd,Houma,Terrebonne Parish,LA,29.611226,-90.756986,107362.0,41841.0
3225 Louisiana Ave,Lafayette,Lafayette Parish,LA,30.265299,-91.995832,245075.0,99357.0
4313 Ambassador Caffery Pkwy,Lafayette,Lafayette Parish,LA,30.160103,-92.049102,245075.0,99357.0
